Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
NijC,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-0.998702158,-0.830562391,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
btsz,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-1.021540755,#VALUE!,-0.030928733,#VALUE!,#VALUE!,#VALUE!,-0.622576357,#VALUE!,#VALUE!,#VALUE!
Efa6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Pli,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG6422-RB,-0.549936906,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CHKov1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
LpR1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
sda,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
woc,#VALUE!,-1.548817907,#VALUE!,#VALUE!,-0.692571475,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hayan,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sec16,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.819139244,-0.81593557,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Rnp4F,-0.647716049,#VALUE!,-0.760870847,#VALUE!,#VALUE!,-1.027674958,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG14445-RB,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.024603367,#VALUE!,-1.584284593,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.544560985,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nup153,-2.161782369,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG40498-RF,-0.285213779,0.14574266,0.431141535,0.603596675,0.845590409,#VALUE!,0.463622457,0.70372089,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,2.042644337,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Gfat1,-2.271252275,-2.169420147,-2.900448938,#VALUE!,-1.819190154,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
how,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.404114472,-2.242908462,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sfp87B,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG9801;CG9801-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8909-RB,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
metro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mbl,0.909581116,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jabba,-1.243625685,-1.25508115,-1.014412136,-1.119102934,-0.476016588,#VALUE!,-1.165402036,-1.245061203,#VALUE!,#VALUE!
tn,-3.017884398,-2.449138727,#VALUE!,-1.767830457,-1.597452441,-2.886726239,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG30387,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sdc,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG9865-RA,#VALUE!,#VALUE!,0.998195503,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG9865-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
St3,-0.538953467,-0.659654223,#VALUE!,-0.659996118,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nurf-38,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fis1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8740-RB,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.176299545,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG31869-RB,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Su(dx),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG42371-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Rrp1,-2.083936159,#VALUE!,#VALUE!,#VALUE!,0.163241085,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
kis,-0.381517,-1.657945961,#VALUE!,#VALUE!,-1.220210793,-0.758574689,#VALUE!,#VALUE!,#VALUE!,#VALUE!
drongo,-0.510991495,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
pgant4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
fred,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
PDZ-GEF,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.127793752,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.412308579,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
RhoGAP71E,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nedd4,#VALUE!,#VALUE!,-1.033835356,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.99731908,0.19105724,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mus312-RD,0.571628274,0.328147114,#VALUE!,0.360869904,0.131852846,0.282499113,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,-1.235959641,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
nudE,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
cher,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.643948519,#VALUE!,#VALUE!,#VALUE!
CG6364,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Lerp,-1.740239415,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
spg,-1.444655006,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mtd,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
MTA1-like,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.046190942,-1.388166635,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Pak,-1.438972088,-1.933628327,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,-0.599789993,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
rg,-1.16689132,-0.465619605,#VALUE!,#VALUE!,-0.547404565,-2.058893689,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG42323-RC,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
tlk,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG4928,#VALUE!,#VALUE!,#VALUE!,1.323370069,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
nemy,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sclp,-1.809498917,-1.449020556,#VALUE!,#VALUE!,-3.067092212,-1.154923497,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sfp96F,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Evi5;CG11727,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.623976395,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Eph,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CaMKII,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CaMKII,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.857599633,#VALUE!,#VALUE!
ssh,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
stau,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
lolal,-0.276817178,#VALUE!,0.018206857,-0.197070628,#VALUE!,-0.673370617,-0.239821643,-0.01196615,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Tim10-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
G-salpha60A;Galphas,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
l(2)01289,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CSN4,-1.125069294,-0.859561612,#VALUE!,-0.616414584,#VALUE!,#VALUE!,-0.173059051,-0.019506677,#VALUE!,#VALUE!
Mlf,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Kr-h2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Piezo,-0.481928209,-0.288328897,#VALUE!,#VALUE!,-0.656080574,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GlcAT-S,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
yuri,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dif,#VALUE!,#VALUE!,-1.713923202,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG14397-RA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG2131,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
galectin,#VALUE!,#VALUE!,-0.11609771,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
E(bx),0.027578727,#VALUE!,#VALUE!,#VALUE!,-0.933821236,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG7611,-2.904440096,-1.427168525,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Pop2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
pHCl,-1.359712254,#VALUE!,#VALUE!,-1.409316549,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dscam2,#VALUE!,-0.571686061,#VALUE!,#VALUE!,-0.676941275,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Snmp2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
syd,-1.425617491,-1.291909904,-0.874322451,#VALUE!,-1.259253732,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Zasp66,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG5021,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TfIIEbeta,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Octbeta2R,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Su(var)3-7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mRpS10,#VALUE!,-1.042189383,#VALUE!,0.177088602,-1.221858723,#VALUE!,-0.596317801,#VALUE!,#VALUE!,#VALUE!
msps,-1.731733302,2.672017935,-1.919860845,#VALUE!,0.207268173,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Pxd,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
osa,-1.844250767,-2.002599191,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG7956-RA,0.829443681,#VALUE!,#VALUE!,#VALUE!,1.96502696,#VALUE!,#VALUE!,2.151956205,#VALUE!,#VALUE!
Irk2,#VALUE!,#VALUE!,-0.510189923,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
nct,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG4673;Npl4,-1.926755589,-1.629277725,-1.207427802,-1.393576724,-1.499279515,0.388465097,-1.2540829,-1.490983233,#VALUE!,#VALUE!
tmod,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG31004;mesh,#VALUE!,#VALUE!,#VALUE!,-0.465161464,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG1307,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.615839646,-1.799570979,#VALUE!,#VALUE!,#VALUE!,#VALUE!
PsGEF,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
tyf,#VALUE!,#VALUE!,#VALUE!,0.255802837,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
rb,#VALUE!,-2.702655956,#VALUE!,#VALUE!,-0.859849593,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cp38,#VALUE!,#VALUE!,-2.968943637,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
fs(1)h,-1.671531148,-2.01449957,#VALUE!,#VALUE!,-0.92700244,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Imp,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
gfA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG17065,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GstT3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.67558108,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Tango11,#VALUE!,#VALUE!,0.92873036,#VALUE!,#VALUE!,#VALUE!,0.905273872,#VALUE!,#VALUE!,#VALUE!
milt,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
tho2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG43427,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG1129,-1.140030452,-1.510580377,-0.884141074,#VALUE!,-0.47523421,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG2982,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-0.407325304,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cbp80,-2.060638,-1.600817966,-2.159395777,-1.994470661,#VALUE!,#VALUE!,1.149779631,#VALUE!,#VALUE!,#VALUE!
Ice,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Aats-phe,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Peritrophin-A,#VALUE!,0.012783185,#VALUE!,#VALUE!,-0.314319941,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fs(2)Ket,-2.235144329,-2.015082595,#VALUE!,#VALUE!,-2.153863766,-2.757598708,#VALUE!,#VALUE!,#VALUE!,#VALUE!
pn,#VALUE!,#VALUE!,-0.799545867,-0.396897126,-0.42678061,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Surf4,#VALUE!,#VALUE!,-0.894348738,#VALUE!,#VALUE!,-0.983560733,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SNF1A,-1.30211945,#VALUE!,#VALUE!,#VALUE!,-0.81365158,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
wbl,-1.052835087,-2.066910859,#VALUE!,#VALUE!,-0.820794719,-1.163041759,#VALUE!,#VALUE!,#VALUE!,#VALUE!
qkr58E-3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cbl,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
msta,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
EG:39E1.2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Pgam5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ocrl,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.286515327,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
fs(1)N,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
noi,-1.83069068,-2.084976336,#VALUE!,#VALUE!,-1.983304013,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Acp53Ea,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Acp62F,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
crol,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Mkk4,-1.047129717,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Flo,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.482022175,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Flo-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fim,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
lic,-1.416731255,-1.862758808,-1.228604556,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
dco,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.379957928,#VALUE!,#VALUE!
Kap-alpha1,-2.132767724,-1.605815153,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BCL7-like,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
eIF2B-beta,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
EG:125H10.1,-0.478687893,-1.112349961,#VALUE!,0.675635301,-1.459813983,-2.735235398,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ssx,-0.346903285,-0.77707182,-0.234397364,-0.077238887,#VALUE!,#VALUE!,#VALUE!,0.035060797,#VALUE!,#VALUE!
CG11448,0.736474994,-0.339728506,-0.208177596,0.043344505,-0.848348967,#VALUE!,0.391987626,#VALUE!,#VALUE!,#VALUE!
anon-3B1.2,-3.824944291,-2.54035855,-1.03773973,#VALUE!,-2.811269933,-1.896361371,#VALUE!,#VALUE!,#VALUE!,#VALUE!
arg,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
pck,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Pp4-19C,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG4045,#VALUE!,-0.541765003,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sec22,#VALUE!,-0.180413558,#VALUE!,#VALUE!,-0.189532217,-0.3505041,0.251931127,#VALUE!,#VALUE!,#VALUE!
Ate1,-2.202903992,-2.509388797,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.559621806,#VALUE!,#VALUE!,#VALUE!
EG:131F2.3,-0.491206283,-0.567403984,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG1315,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
par-6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.09963185,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
RpII33,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
l(1)10Bb,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Src64B,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sgs3,-5.103878533,-5.457736006,#VALUE!,#VALUE!,-3.183637861,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sgs7,-3.798004883,#VALUE!,#VALUE!,#VALUE!,-2.300164121,-1.431247944,#VALUE!,#VALUE!,#VALUE!,#VALUE!
nAcRbeta-64B,#VALUE!,#VALUE!,#VALUE!,-0.185408562,#VALUE!,#VALUE!,0.446679711,#VALUE!,#VALUE!,#VALUE!
Rh3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Adf1,#VALUE!,-0.680289588,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-3.719338192,-3.649077362,#VALUE!,-1.289509823,-2.396460293,-3.957759113,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-3.157141817,-4.659996118,-1.900395079,-2.694975053,-4.78329061,-4.641765797,-2.46434514,-2.486246511,-2.82071827,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hsp67Ba,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
r,-1.609552422,-2.203701281,#VALUE!,#VALUE!,-1.74429383,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
